region;ålder;år;Folkmängd
0187 Vaxholm;totalt ålder;2011;11141
0187 Vaxholm;totalt ålder;2012;11126
0187 Vaxholm;totalt ålder;2013;11188
0187 Vaxholm;totalt ålder;2014;11329
0187 Vaxholm;totalt ålder;2015;11380
0187 Vaxholm;totalt ålder;2016;11621
0187 Vaxholm;totalt ålder;2017;11831
0187 Vaxholm;totalt ålder;2018;12023
0188 Norrtälje;totalt ålder;2008;55528
0188 Norrtälje;totalt ålder;2009;55927
0188 Norrtälje;totalt ålder;2010;56080
0188 Norrtälje;totalt ålder;2011;56245
0188 Norrtälje;totalt ålder;2012;56634
0188 Norrtälje;totalt ålder;2013;56845
0188 Norrtälje;totalt ålder;2014;57568
0188 Norrtälje;totalt ålder;2015;58669
0188 Norrtälje;totalt ålder;2016;59420
0188 Norrtälje;totalt ålder;2017;60808
0188 Norrtälje;totalt ålder;2018;61769
0191 Sigtuna;totalt ålder;2008;38372
0191 Sigtuna;totalt ålder;2009;39219
0191 Sigtuna;totalt ålder;2010;39990
0191 Sigtuna;totalt ålder;2011;41329
0191 Sigtuna;totalt ålder;2012;42272
0191 Sigtuna;totalt ålder;2013;43372
0191 Sigtuna;totalt ålder;2014;44085
0191 Sigtuna;totalt ålder;2015;44786
0191 Sigtuna;totalt ålder;2016;46274
0191 Sigtuna;totalt ålder;2017;47146
0191 Sigtuna;totalt ålder;2018;48130
0192 Nynäshamn;totalt ålder;2008;25499
0192 Nynäshamn;totalt ålder;2009;25781
0192 Nynäshamn;totalt ålder;2010;26032
0192 Nynäshamn;totalt ålder;2011;26248
0192 Nynäshamn;totalt ålder;2012;26572
0192 Nynäshamn;totalt ålder;2013;26796
0192 Nynäshamn;totalt ålder;2014;27041
0192 Nynäshamn;totalt ålder;2015;27500
0192 Nynäshamn;totalt ålder;2016;27752
0192 Nynäshamn;totalt ålder;2017;28109
0192 Nynäshamn;totalt ålder;2018;28290
0305 Håbo;totalt ålder;2008;19225
0305 Håbo;totalt ålder;2009;19452
0305 Håbo;totalt ålder;2010;19629
0305 Håbo;totalt ålder;2011;19715
0305 Håbo;totalt ålder;2012;19883
0305 Håbo;totalt ålder;2013;19968
0305 Håbo;totalt ålder;2014;20034
0305 Håbo;totalt ålder;2015;20279
0305 Håbo;totalt ålder;2016;20737
0305 Håbo;totalt ålder;2017;21083
0305 Håbo;totalt ålder;2018;21564
0319 Älvkarleby;totalt ålder;2008;9064
0319 Älvkarleby;totalt ålder;2009;9068
0319 Älvkarleby;totalt ålder;2010;9103
0319 Älvkarleby;totalt ålder;2011;9089
0319 Älvkarleby;totalt ålder;2012;9059
0319 Älvkarleby;totalt ålder;2013;9132
0319 Älvkarleby;totalt ålder;2014;9169
0319 Älvkarleby;totalt ålder;2015;9293
0319 Älvkarleby;totalt ålder;2016;9445
0319 Älvkarleby;totalt ålder;2017;9402
0319 Älvkarleby;totalt ålder;2018;9392
0330 Knivsta;totalt ålder;2008;14259
0330 Knivsta;totalt ålder;2009;14477
0330 Knivsta;totalt ålder;2010;14724
0330 Knivsta;totalt ålder;2011;14965
0330 Knivsta;totalt ålder;2012;15279
0330 Knivsta;totalt ålder;2013;15580
0330 Knivsta;totalt ålder;2014;16105
0330 Knivsta;totalt ålder;2015;16869
0330 Knivsta;totalt ålder;2016;17323
0330 Knivsta;totalt ålder;2017;18064
0330 Knivsta;totalt ålder;2018;18720
0331 Heby;totalt ålder;2008;13407
0331 Heby;totalt ålder;2009;13355
0331 Heby;totalt ålder;2010;13382
0331 Heby;totalt ålder;2011;13381
0331 Heby;totalt ålder;2012;13364
0331 Heby;totalt ålder;2013;13450
0331 Heby;totalt ålder;2014;13490
0331 Heby;totalt ålder;2015;13594
0331 Heby;totalt ålder;2016;13755
0331 Heby;totalt ålder;2017;13854
0331 Heby;totalt ålder;2018;13910
0360 Tierp;totalt ålder;2008;20153
0360 Tierp;totalt ålder;2009;20044
0360 Tierp;totalt ålder;2010;20125
0360 Tierp;totalt ålder;2011;20077
0360 Tierp;totalt ålder;2012;20156
0360 Tierp;totalt ålder;2013;20144
0360 Tierp;totalt ålder;2014;20245
0360 Tierp;totalt ålder;2015;20547
0360 Tierp;totalt ålder;2016;20744
0360 Tierp;totalt ålder;2017;20930
0360 Tierp;totalt ålder;2018;21127
0380 Uppsala;totalt ålder;2008;190668
0380 Uppsala;totalt ålder;2009;194751
0380 Uppsala;totalt ålder;2010;197787
0380 Uppsala;totalt ålder;2011;200001
0380 Uppsala;totalt ålder;2012;202625
0380 Uppsala;totalt ålder;2013;205199
0380 Uppsala;totalt ålder;2014;207362
0380 Uppsala;totalt ålder;2015;210126
0380 Uppsala;totalt ålder;2016;214559
0380 Uppsala;totalt ålder;2017;219914
0380 Uppsala;totalt ålder;2018;225164
0381 Enköping;totalt ålder;2008;38978
0381 Enköping;totalt ålder;2009;39360
0381 Enköping;totalt ålder;2010;39759
0381 Enköping;totalt ålder;2011;40015
0381 Enköping;totalt ålder;2012;40349
0381 Enköping;totalt ålder;2013;40656
0381 Enköping;totalt ålder;2014;41163
0381 Enköping;totalt ålder;2015;41893
0381 Enköping;totalt ålder;2016;42988
0381 Enköping;totalt ålder;2017;43797
0381 Enköping;totalt ålder;2018;44429
0382 Östhammar;totalt ålder;2008;21434
0382 Östhammar;totalt ålder;2009;21391
0382 Östhammar;totalt ålder;2010;21373
0382 Östhammar;totalt ålder;2011;21387
0382 Östhammar;totalt ålder;2012;21262
0382 Östhammar;totalt ålder;2013;21352
0382 Östhammar;totalt ålder;2014;21374
0382 Östhammar;totalt ålder;2015;21563
0382 Östhammar;totalt ålder;2016;21822
0382 Östhammar;totalt ålder;2017;21927
0382 Östhammar;totalt ålder;2018;22048
0428 Vingåker;totalt ålder;2008;9000
0428 Vingåker;totalt ålder;2009;8911
0428 Vingåker;totalt ålder;2010;8893
0428 Vingåker;totalt ålder;2011;8824
0428 Vingåker;totalt ålder;2012;8775
0428 Vingåker;totalt ålder;2013;8835
0428 Vingåker;totalt ålder;2014;8919
0428 Vingåker;totalt ålder;2015;8953
0428 Vingåker;totalt ålder;2016;9099
0428 Vingåker;totalt ålder;2017;9180
0428 Vingåker;totalt ålder;2018;9136
0461 Gnesta;totalt ålder;2008;10179
0461 Gnesta;totalt ålder;2009;10318
0461 Gnesta;totalt ålder;2010;10360
0461 Gnesta;totalt ålder;2011;10345
0461 Gnesta;totalt ålder;2012;10442
0461 Gnesta;totalt ålder;2013;10409
0461 Gnesta;totalt ålder;2014;10513
0461 Gnesta;totalt ålder;2015;10649
0461 Gnesta;totalt ålder;2016;10861
0461 Gnesta;totalt ålder;2017;11019
0461 Gnesta;totalt ålder;2018;11237
0480 Nyköping;totalt ålder;2008;50973
0480 Nyköping;totalt ålder;2009;51209
0480 Nyköping;totalt ålder;2010;51644
0480 Nyköping;totalt ålder;2011;51896
0480 Nyköping;totalt ålder;2012;52336
0480 Nyköping;totalt ålder;2013;53038
0480 Nyköping;totalt ålder;2014;53508
0480 Nyköping;totalt ålder;2015;54262
0480 Nyköping;totalt ålder;2016;54924
0480 Nyköping;totalt ålder;2017;55467
0480 Nyköping;totalt ålder;2018;56011
0481 Oxelösund;totalt ålder;2008;11170
0481 Oxelösund;totalt ålder;2009;11126
0481 Oxelösund;totalt ålder;2010;11193
0481 Oxelösund;totalt ålder;2011;11250
0481 Oxelösund;totalt ålder;2012;11236
0481 Oxelösund;totalt ålder;2013;11403
0481 Oxelösund;totalt ålder;2014;11551
0481 Oxelösund;totalt ålder;2015;11701
0481 Oxelösund;totalt ålder;2016;11921
0481 Oxelösund;totalt ålder;2017;12008
0481 Oxelösund;totalt ålder;2018;12062
0482 Flen;totalt ålder;2008;16133
0482 Flen;totalt ålder;2009;16139
0482 Flen;totalt ålder;2010;16028
0482 Flen;totalt ålder;2011;16063
0482 Flen;totalt ålder;2012;16019
0482 Flen;totalt ålder;2013;16156
0482 Flen;totalt ålder;2014;16242
0482 Flen;totalt ålder;2015;16440
0482 Flen;totalt ålder;2016;16830
0482 Flen;totalt ålder;2017;16864
0482 Flen;totalt ålder;2018;16705
0483 Katrineholm;totalt ålder;2008;32207
0483 Katrineholm;totalt ålder;2009;32303
0483 Katrineholm;totalt ålder;2010;32428
0483 Katrineholm;totalt ålder;2011;32409
0483 Katrineholm;totalt ålder;2012;32549
0483 Katrineholm;totalt ålder;2013;32930
0483 Katrineholm;totalt ålder;2014;33268
0483 Katrineholm;totalt ålder;2015;33462
0483 Katrineholm;totalt ålder;2016;33722
0483 Katrineholm;totalt ålder;2017;34133
0483 Katrineholm;totalt ålder;2018;34550
0484 Eskilstuna;totalt ålder;2008;94785
0484 Eskilstuna;totalt ålder;2009;95577
0484 Eskilstuna;totalt ålder;2010;96311
0484 Eskilstuna;totalt ålder;2011;97596
0484 Eskilstuna;totalt ålder;2012;98765
0484 Eskilstuna;totalt ålder;2013;99729
0484 Eskilstuna;totalt ålder;2014;100923
0484 Eskilstuna;totalt ålder;2015;102065
0484 Eskilstuna;totalt ålder;2016;103684
0484 Eskilstuna;totalt ålder;2017;104709
0484 Eskilstuna;totalt ålder;2018;105924
0486 Strängnäs;totalt ålder;2008;31715
0486 Strängnäs;totalt ålder;2009;32024
0486 Strängnäs;totalt ålder;2010;32419
0486 Strängnäs;totalt ålder;2011;32687
0486 Strängnäs;totalt ålder;2012;33072
0486 Strängnäs;totalt ålder;2013;33389
0486 Strängnäs;totalt ålder;2014;33878
0486 Strängnäs;totalt ålder;2015;34102
0486 Strängnäs;totalt ålder;2016;34609
0486 Strängnäs;totalt ålder;2017;35045
0486 Strängnäs;totalt ålder;2018;35761
0488 Trosa;totalt ålder;2008;11362
0488 Trosa;totalt ålder;2009;11446
0488 Trosa;totalt ålder;2010;11462
0488 Trosa;totalt ålder;2011;11493
0488 Trosa;totalt ålder;2012;11529
0488 Trosa;totalt ålder;2013;11680
0488 Trosa;totalt ålder;2014;11864
0488 Trosa;totalt ålder;2015;12078
0488 Trosa;totalt ålder;2016;12447
0488 Trosa;totalt ålder;2017;12916
0488 Trosa;totalt ålder;2018;13309
0509 Ödeshög;totalt ålder;2008;5350
0509 Ödeshög;totalt ålder;2009;5314
0509 Ödeshög;totalt ålder;2010;5284
0509 Ödeshög;totalt ålder;2011;5245
0509 Ödeshög;totalt ålder;2012;5200
0509 Ödeshög;totalt ålder;2013;5174
0509 Ödeshög;totalt ålder;2014;5240
0509 Ödeshög;totalt ålder;2015;5236
0509 Ödeshög;totalt ålder;2016;5335
0509 Ödeshög;totalt ålder;2017;5343
0509 Ödeshög;totalt ålder;2018;5323
0512 Ydre;totalt ålder;2008;3726
0512 Ydre;totalt ålder;2009;3672
0512 Ydre;totalt ålder;2010;3672
0512 Ydre;totalt ålder;2011;3666
0512 Ydre;totalt ålder;2012;3612
0512 Ydre;totalt ålder;2013;3617
0512 Ydre;totalt ålder;2014;3660
0512 Ydre;totalt ålder;2015;3658
0512 Ydre;totalt ålder;2016;3675
0512 Ydre;totalt ålder;2017;3733
0512 Ydre;totalt ålder;2018;3743
0513 Kinda;totalt ålder;2008;9885
0513 Kinda;totalt ålder;2009;9811
0513 Kinda;totalt ålder;2010;9762
0513 Kinda;totalt ålder;2011;9799
0513 Kinda;totalt ålder;2012;9744
0513 Kinda;totalt ålder;2013;9802
0513 Kinda;totalt ålder;2014;9795
0513 Kinda;totalt ålder;2015;9795
0513 Kinda;totalt ålder;2016;9874
0513 Kinda;totalt ålder;2017;9882
0513 Kinda;totalt ålder;2018;9915
0560 Boxholm;totalt ålder;2008;5260
0560 Boxholm;totalt ålder;2009;5248
0560 Boxholm;totalt ålder;2010;5221
0560 Boxholm;totalt ålder;2011;5205
0560 Boxholm;totalt ålder;2012;5206
0560 Boxholm;totalt ålder;2013;5278
0560 Boxholm;totalt ålder;2014;5322
0560 Boxholm;totalt ålder;2015;5328
0560 Boxholm;totalt ålder;2016;5373
0560 Boxholm;totalt ålder;2017;5453
0560 Boxholm;totalt ålder;2018;5449
0561 Åtvidaberg;totalt ålder;2008;11543
0561 Åtvidaberg;totalt ålder;2009;11498
0561 Åtvidaberg;totalt ålder;2010;11504
0561 Åtvidaberg;totalt ålder;2011;11517
0561 Åtvidaberg;totalt ålder;2012;11446
0561 Åtvidaberg;totalt ålder;2013;11460
0561 Åtvidaberg;totalt ålder;2014;11472
0561 Åtvidaberg;totalt ålder;2015;11545
0561 Åtvidaberg;totalt ålder;2016;11617
0561 Åtvidaberg;totalt ålder;2017;11631
0561 Åtvidaberg;totalt ålder;2018;11537
0562 Finspång;totalt ålder;2008;20589
0562 Finspång;totalt ålder;2009;20733
0562 Finspång;totalt ålder;2010;20747
0562 Finspång;totalt ålder;2011;20763
0562 Finspång;totalt ålder;2012;20791
0562 Finspång;totalt ålder;2013;20903
0562 Finspång;totalt ålder;2014;21150
0562 Finspång;totalt ålder;2015;21199
0562 Finspång;totalt ålder;2016;21526
0562 Finspång;totalt ålder;2017;21577
0562 Finspång;totalt ålder;2018;21758
0563 Valdemarsvik;totalt ålder;2008;7852
0563 Valdemarsvik;totalt ålder;2009;7811
0563 Valdemarsvik;totalt ålder;2010;7760
0563 Valdemarsvik;totalt ålder;2011;7662
0563 Valdemarsvik;totalt ålder;2012;7597
0563 Valdemarsvik;totalt ålder;2013;7585
0563 Valdemarsvik;totalt ålder;2014;7657
0563 Valdemarsvik;totalt ålder;2015;7747
0563 Valdemarsvik;totalt ålder;2016;7809
0563 Valdemarsvik;totalt ålder;2017;7920
0563 Valdemarsvik;totalt ålder;2018;7956
0580 Linköping;totalt ålder;2008;141863
0580 Linköping;totalt ålder;2009;144690
0580 Linköping;totalt ålder;2010;146416
0580 Linköping;totalt ålder;2011;147334
0580 Linköping;totalt ålder;2012;148521
0580 Linköping;totalt ålder;2013;150202
0580 Linköping;totalt ålder;2014;151881
0580 Linköping;totalt ålder;2015;152966
0580 Linköping;totalt ålder;2016;155817
0580 Linköping;totalt ålder;2017;158520
0580 Linköping;totalt ålder;2018;161034
0581 Norrköping;totalt ålder;2008;128060
0581 Norrköping;totalt ålder;2009;129254
0581 Norrköping;totalt ålder;2010;130050
0581 Norrköping;totalt ålder;2011;130623
0581 Norrköping;totalt ålder;2012;132124
0581 Norrköping;totalt ålder;2013;133749
0581 Norrköping;totalt ålder;2014;135283
0581 Norrköping;totalt ålder;2015;137035
0581 Norrköping;totalt ålder;2016;139363
0581 Norrköping;totalt ålder;2017;140927
0581 Norrköping;totalt ålder;2018;141676
0582 Söderköping;totalt ålder;2008;13959
0582 Söderköping;totalt ålder;2009;14042
0582 Söderköping;totalt ålder;2010;14024
0582 Söderköping;totalt ålder;2011;14043
0582 Söderköping;totalt ålder;2012;14143
0582 Söderköping;totalt ålder;2013;14195
0582 Söderköping;totalt ålder;2014;14268
0582 Söderköping;totalt ålder;2015;14240
0582 Söderköping;totalt ålder;2016;14402
0582 Söderköping;totalt ålder;2017;14521
0582 Söderköping;totalt ålder;2018;14618
0583 Motala;totalt ålder;2008;41953
0583 Motala;totalt ålder;2009;41843
0583 Motala;totalt ålder;2010;41955
0583 Motala;totalt ålder;2011;41828
0583 Motala;totalt ålder;2012;41867
0583 Motala;totalt ålder;2013;42187
0583 Motala;totalt ålder;2014;42556
0583 Motala;totalt ålder;2015;42903
0583 Motala;totalt ålder;2016;43258
0583 Motala;totalt ålder;2017;43549
0583 Motala;totalt ålder;2018;43687
0584 Vadstena;totalt ålder;2008;7475
0584 Vadstena;totalt ålder;2009;7420
0584 Vadstena;totalt ålder;2010;7391
0584 Vadstena;totalt ålder;2011;7317
0584 Vadstena;totalt ålder;2012;7338
0584 Vadstena;totalt ålder;2013;7383
0584 Vadstena;totalt ålder;2014;7393
0584 Vadstena;totalt ålder;2015;7407
0584 Vadstena;totalt ålder;2016;7348
0584 Vadstena;totalt ålder;2017;7421
0584 Vadstena;totalt ålder;2018;7514
0586 Mjölby;totalt ålder;2008;25654
0586 Mjölby;totalt ålder;2009;25770
0586 Mjölby;totalt ålder;2010;25856
0586 Mjölby;totalt ålder;2011;26073
0586 Mjölby;totalt ålder;2012;26195
0586 Mjölby;totalt ålder;2013;26313
0586 Mjölby;totalt ålder;2014;26428
0586 Mjölby;totalt ålder;2015;26602
0586 Mjölby;totalt ålder;2016;26708
0586 Mjölby;totalt ålder;2017;27019
0586 Mjölby;totalt ålder;2018;27373
0604 Aneby;totalt ålder;2008;6523
0604 Aneby;totalt ålder;2009;6446
0604 Aneby;totalt ålder;2010;6393
0604 Aneby;totalt ålder;2011;6415
0604 Aneby;totalt ålder;2012;6407
0604 Aneby;totalt ålder;2013;6375
0604 Aneby;totalt ålder;2014;6426
0604 Aneby;totalt ålder;2015;6537
0604 Aneby;totalt ålder;2016;6603
0604 Aneby;totalt ålder;2017;6776
0604 Aneby;totalt ålder;2018;6832
0617 Gnosjö;totalt ålder;2008;9658
0617 Gnosjö;totalt ålder;2009;9536
0617 Gnosjö;totalt ålder;2010;9546
